BT-01,18
BT-03,16
BT-04,16
BT-05,14
CBD-03,20
CBD-04,18
CBD-05,20
CBD-06,18
CBD-07,20
CBD-13,18
CD-01,0
CH-01,16
CH-02,20
CH-03,16
CH-05,16
CH-06,16
CH-07,18
CH-08,26
CH-09,16
CH-12,14
CH-15,16
DPD-01,18
DPD-03,24
EL-01,16
EL-03,18
EL-05,18
FH-01,0
FH-04,20
ID-04,16
PS-04,18
PS-05,18
SLU-01,20
SLU-02,18
SLU-04,18
SLU-07,18
SLU-15,20
SLU-16,20
SLU-17,16
SLU-18,0
SLU-19,16
SLU-20,20
SLU-21,20
UD-01,18
UD-02,18
UD-04,16
UD-07,16
UW-01,0
UW-02,14
UW-04,16
UW-06,14
UW-07,14
UW-10,16
WF-01,24
WF-04,18
CH-16,18
SLU-22,18
UW-11,16
WF-03,18
